procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 779600 6469964  11248 239084    0    0     0     0  221  762 48  4 48  0  0
 4  0 779600 6468956  11256 239088    0    0     0    16  580 1517 49  5 47  0  0
 4  0 779600 6468704  11256 239088    0    0     0     0  238  793 48  5 47  0  0
 4  0 779600 6467708  11256 239104    0    0     0     0  683 1748 48  5 46  0  0
 5  0 779600 6467708  11256 239104    0    0     0     0  271  900 49  4 48  0  0
 4  0 779580 6467204  11256 239108   20    0    20     0 1119 2727 50  4 46  0  0
 4  0 779576 6467204  11264 239108    0    0     0    16  229  800 48  4 47  0  0
 4  0 779576 6467204  11264 239108    0    0     0     0  838 2072 49  3 48  0  0
 4  0 779576 6467204  11264 239108    0    0     0    12  219  771 48  5 47  0  0
 4  0 779576 6466952  11264 239108    0    0     0     0  627 1630 48  5 47  0  0
 4  0 779576 6464180  11264 239108    0    0     0     0  327 1028 49  4 47  0  0
 4  0 779524 6465664  11272 239092   80    0    80    28  931 2228 49  4 47  0  0
 4  0 779524 6465664  11272 239092    0    0     0     0  215  786 49  2 48  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 779524 6460812  11272 239092    0    0     0    16  764 1919 50  3 47  0  0
 4  0 779524 6460812  11272 239092    0    0     0     0  222  777 49  3 48  0  0
 4  0 779524 6455204  11272 239092    0    0     0     0  950 2335 49  5 46  0  0
 4  0 779524 6455204  11280 239108    0    0     0    16  223  803 49  3 48  0  0
 4  0 779524 6455204  11280 239108    0    0     0     0  917 2179 49  4 47  0  0
 4  0 779524 6455204  11280 239108    0    0     0     0  212  775 49  2 48  0  0
 5  0 779524 6455204  11280 239112    0    0     0     0  872 2140 49  4 47  0  0
 4  0 779524 6457128  11280 239112    0    0     0     0  299 1026 49  4 47  0  0
 5  0 779524 6456876  11288 239112    0    0     0    16  406 1187 48  6 46  0  0
 4  0 779524 6458548  11288 239112    0    0     0     0  648 1676 49  3 48  0  0
 4  0 779524 6458296  11288 239112    0    0     0     0  219  794 47  6 47  0  0
 4  0 779524 6457036  11288 239112    0    0     0     0  840 2053 48  5 47  0  0
 4  0 779524 6458044  11288 239116    0    0     0     0  336 1062 48  6 46  0  0
 4  0 779524 6458044  11296 239100    0    0     0    16  898 2146 48  6 46  0  0
 4  0 779520 6458044  11296 239100    0    0     0     0  233  806 48  5 47  0  0
 4  0 779520 6458044  11296 239100    0    0     0     0  910 2176 49  4 47  0  0
 4  0 779520 6458044  11296 239100    0    0     0     0  267  890 49  2 48  0  0
 4  0 779512 6457792  11296 239100    0    0     0     0  886 2151 50  3 47  0  0
 4  0 779512 6457792  11304 239100    0    0     0    16  226  788 48  5 47  0  0
 4  0 779512 6456784  11304 239100    0    0     0     0  872 2113 49  3 47  0  0
 4  0 779424 6454264  11592 241160  164    0  2360    40  342 1063 49  3 48  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 779424 6451504  11592 241160    0    0     0     0  928 2314 49  5 46  0  0
 4  0 779424 6451756  11592 241160    0    0     0     0  187  717 48  4 48  0  0
 4  0 779424 6450748  11592 241160    0    0     0     0  852 2073 50  3 48  0  0
 4  0 779424 6451504  11592 241160    0    0     0     0  188  693 48  5 47  0  0
 4  0 779424 6452652  11592 241176    0    0     0     0  856 2060 49  3 48  0  0
 4  0 779424 6452652  11600 241176    0    0     0    44  185  696 49  2 48  0  0
 4  0 779424 6452152  11600 241176    0    0     0     0  884 2093 47  7 46  0  0
 4  0 779424 6452152  11600 241176    0    0     0     0  176  667 50  2 49  0  0
 4  0 779424 6451900  11600 241176    0    0     0     0  869 2081 49  4 47  0  0
 4  0 779424 6451900  11600 241160    0    0     0     0  178  660 49  2 48  0  0
 4  0 779144 6445892  11608 253692  996    0 13276    32 1227 2910 49  4 44  2  0
 4  0 779140 6445644  11608 253504    4    0     4     0  248  906 49  3 48  0  0
 4  0 779140 6444384  11608 253504    0    0     0     0  854 2049 48  4 47  0  0
 4  0 779140 6444132  11608 253520    0    0     0     0  183  706 49  3 48  0  0
 4  0 779140 6443124  11608 253520    0    0     0     0  869 2094 49  3 47  0  0
 4  0 779140 6443124  11616 253524    0    0     0    64  181  702 49  3 48  0  0
 4  0 779140 6442116  11616 253524    0    0     0     0  891 2136 48  6 47  0  0
 4  0 779140 6442116  11616 253524    0    0     0     0  173  663 50  2 49  0  0
 4  0 779140 6441108  11616 253508    0    0     0     0  867 2096 49  3 47  0  0
 4  0 779140 6441108  11616 253508    0    0     0     0  177  667 50  1 49  0  0
 4  0 779140 6440364  11624 253524    0    0     0    16  818 2012 50  3 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 779140 6440364  11624 253524    0    0     0     0  178  673 49  3 48  0  0
 4  0 779140 6440364  11624 253524    0    0     0     0  865 2090 49  4 47  0  0
 4  0 779140 6440364  11624 253524    0    0     0     0  178  685 49  3 48  0  0
 4  0 779140 6440364  11624 253524    0    0     0     0  852 2062 49  5 46  0  0
 4  0 779140 6440112  11632 253508    0    0     0    16  187  699 48  5 47  0  0
 6  0 779136 6440112  11632 253508   12    0   120     0  738 1904 51  3 46  0  0
 4  0 779132 6439608  11632 253704   16    0    88     0  217  853 49  5 47  0  0
 4  0 779132 6439608  11632 253704    0    0     0     0  184  673 48  4 47  0  0
 4  0 779132 6439608  11632 253688   16    0    16     0  797 1958 48  7 46  0  0
 4  0 779132 6439608  11640 253684    0    0     0   152  190  712 48  4 47  0  0
 4  0 779132 6439608  11640 253708    0    0     0     0  711 1860 48  6 46  0  0
 4  0 779132 6439608  11640 253708    0    0     0     0  185  684 49  3 48  0  0
 4  0 779132 6439608  11640 253708    0    0     0     0  585 1551 49  3 48  0  0
 4  0 779132 6439608  11640 253708    0    0     0     0  186  698 49  3 48  0  0
 4  0 779132 6439608  11648 253688    0    0     0    16  758 1879 49  5 47  0  0
 4  0 779132 6439608  11648 253692    0    0     0     0  178  667 48  4 48  0  0
 4  0 779132 6439608  11648 253692    0    0     0     0  851 2063 49  4 47  0  0
 4  0 779132 6439608  11648 253708    0    0     0     0  199  715 49  3 48  0  0
 4  0 779132 6440916  11648 253708    0    0     0     0  867 2066 48  6 46  0  0
 4  0 779128 6440916  11656 253700    4    0     4    16  190  704 48  5 47  0  0
 4  0 779128 6441672  11656 253692    0    0     0     0  857 2055 48  5 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 779128 6441676  11656 253692    0    0     0     0  195  688 48  5 47  0  0
 4  0 779128 6441676  11656 253692    0    0     0     0  864 2074 48  5 47  0  0
 4  0 779128 6441676  11656 253692    0    0     0     0  183  681 48  5 47  0  0
 4  0 779128 6441676  11664 253684    0    0     0    32  858 2081 49  4 47  0  0
 4  0 779128 6441436  11664 253708    0    0     0     0  181  675 47  6 47  0  0
 4  0 779128 6441436  11664 253692    0    0     0     0  635 1612 48  6 46  0  0
 4  0 779128 6441436  11664 253692    0    0     0     0  189  682 48  5 47  0  0
 4  0 779128 6441436  11664 253708    0    0     0     0  750 1897 49  4 47  0  0
 4  0 779128 6441436  11672 253708    0    0     0    52  195  700 48  4 48  0  0
 4  0 779128 6441436  11672 253692    0    0     0     0  808 2001 50  3 47  0  0
 4  0 779128 6441436  11672 253692    0    0     0     0  172  667 48  5 47  0  0
 4  0 779128 6441436  11672 253708    0    0     0     0  875 2080 48  6 47  0  0
 4  0 779128 6441436  11672 253708    0    0     0     0  188  687 48  5 47  0  0
 4  0 779128 6443392  11680 253700    0    0     0    16  808 1972 48  5 46  0  0
 4  0 779128 6443392  11680 253708    0    0     0     0  175  668 49  3 48  0  0
 4  0 779128 6442384  11680 253708    0    0     0     0  856 2053 49  4 47  0  0
 4  0 779128 6442384  11680 253692    0    0     0     0  193  691 48  4 47  0  0
 4  0 779128 6442384  11680 253708    0    0     0     0  874 2116 49  3 47  0  0
 4  0 779128 6442384  11688 253708    0    0     0    16  182  675 49  3 48  0  0
 4  0 779128 6442132  11688 253708    0    0     0     0  814 1990 48  5 47  0  0
 4  0 779128 6441880  11688 253692    0    0     0     0  169  673 49  3 48  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 779128 6442348  11688 253692    0    0     0     0  846 2019 50  2 48  0  0
 4  0 779128 6442384  11688 253708    0    0     0     0  174  667 49  3 48  0  0
 5  0 779128 6442384  11696 253700    0    0     0    16  749 1843 50  3 47  0  0
 4  0 779128 6442384  11696 253692    0    0     0     0  186  685 48  4 48  0  0
 4  0 779128 6442384  11696 253692    0    0     0     0  182  692 49  3 48  0  0
 4  0 779128 6442132  11696 253708    0    0     0     0  674 1688 48  5 46  0  0
 4  0 779128 6442132  11696 253708    0    0     0     0  183  693 49  3 48  0  0
 4  0 779128 6441124  11704 253692    0    0     0    16  710 1766 49  4 47  0  0
 4  0 779128 6441124  11704 253692    0    0     0     0  182  689 48  6 47  0  0
 4  0 779128 6440116  11704 253708    0    0     0     0  864 2085 49  4 47  0  0
 5  0 779128 6439612  11704 253708    0    0     0     0  187  681 47  6 46  0  0
 4  0 779128 6439612  11704 253708    0    0     0     0  756 1887 48  5 47  0  0
 4  0 779128 6439612  11712 253700    0    0     0    16  183  688 49  3 48  0  0
 4  0 779128 6439612  11712 253708    0    0     0     0  869 2085 50  2 48  0  0
 4  0 778892 6439612  11712 253712  340    0   340     0  224  770 49  2 48  0  0
 4  0 778892 6441756  11712 253712    0    0     0     0  706 1780 50  2 48  0  0
 4  0 778884 6442764  11712 253712    8    0     8     0  184  666 49  2 49  0  0
 4  0 778884 6443020  11728 253700    0    0     4    24  863 2079 49  3 48  0  0
 4  0 778884 6438924  11728 253704    0    0     0     0  175  671 49  4 48  0  0
 4  0 778884 6439180  11728 253704    0    0     0     0  852 2049 49  5 46  0  0
 4  0 778884 6438680  11728 253720    0    0     0     0  185  679 48  5 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 778884 6439440  11728 253720    0    0     0     0  723 1775 49  5 47  0  0
 4  0 778884 6439188  11736 253720    0    0     0    60  186  676 48  5 47  0  0
 4  0 778884 6439696  11736 253720    0    0     0     0  769 1896 48  5 47  0  0
 4  0 778884 6439696  11736 253720    0    0     0     0  164  651 49  2 48  0  0
 4  0 778880 6438692  11736 253720   16    0    16     0  687 1762 49  5 47  0  0
 4  0 778872 6438692  11736 253720    8    0     8     0  181  672 48  5 47  0  0
 4  0 778872 6437940  11744 253720    0    0     0    16  807 1964 48  6 46  0  0
 4  0 778872 6437940  11744 253720    0    0     0     0  182  685 49  3 48  0  0
 4  0 778872 6437940  11744 253704    0    0     0     0  782 1894 49  3 47  0  0
 4  0 778872 6437940  11744 253704    0    0     0     0  183  666 48  5 47  0  0
 4  0 778872 6438192  11744 253704    0    0     0     0  856 2053 48  5 46  0  0
 4  0 778872 6438192  11752 253720    0    0     0    16  170  649 48  4 47  0  0
 4  0 778872 6437436  11752 253704    0    0     0     0  837 2044 50  2 48  0  0
 4  0 778872 6437184  11752 253704    0    0     0     0  167  661 48  5 47  0  0
 4  0 778872 6436176  11752 253704    0    0     0     0  850 2023 48  5 47  0  0
 4  0 778872 6436176  11752 253720    0    0     0     0  171  642 49  2 48  0  0
 4  0 778872 6436176  11760 253712    0    0     0    16  871 2069 49  4 47  0  0
 4  0 778872 6435924  11760 253720    0    0     0     0  168  648 49  3 48  0  0
 4  0 778872 6435924  11760 253720    0    0     0     0  721 1797 49  3 48  0  0
 4  0 778872 6436176  11760 253736    0    0     0     0  174  671 49  2 48  0  0
 4  0 778872 6436828  11760 253736    0    0     0     0  734 2041 48  7 46  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 778872 6436932  11768 253736    0    0     0    16  183  699 46  9 45  0  0
 5  0 778872 6437184  11768 253736    0    0     0     0  172  635 47  6 47  0  0
 4  0 778872 6438956  11768 253720    0    0     0     0  784 1957 49  4 47  0  0
 4  0 778872 6438956  11768 253720    0    0     0     0  175  649 48  4 47  0  0
 4  0 778872 6438708  11768 253720    0    0     0     0  859 2054 49  4 47  0  0
 4  0 778872 6438708  11776 253720    0    0     0    16  174  663 48  4 47  0  0
 4  0 778872 6440728  11776 253720    0    0     0     0  858 2070 48  5 47  0  0
 4  0 778872 6440480  11776 253720    0    0     0     0  166  661 48  5 47  0  0
 4  0 778872 6439472  11776 253720    0    0     0     0  846 2034 48  6 46  0  0
 5  0 778872 6439472  11776 253720    0    0     0     0  173  645 47  6 47  0  0
 4  0 778872 6439472  11784 253720    0    0     0    20  853 2065 49  4 47  0  0
 4  0 778872 6439472  11784 253720    0    0     0     0  178  659 48  4 47  0  0
 4  0 778872 6439472  11784 253720    0    0     0     0  814 1969 48  5 47  0  0
 4  0 778872 6439220  11784 253720    0    0     0     0  161  627 48  5 47  0  0
 4  0 778872 6438728  11784 253736    0    0     0     0  840 2040 49  3 48  0  0
 4  0 778872 6438728  11792 253736    0    0     0    20  174  667 48  5 47  0  0
 4  0 778872 6439988  11792 253736    0    0     0     0  724 1830 48  6 46  0  0
 4  0 778872 6439736  11792 253720    0    0     0     0  170  671 49  4 48  0  0
