procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 769696 5722608  27812 269212    0    0     0    16  190  710 48  5 47  0  0
 5  0 769696 5655324  27828 364748    0    0     0     0  519 1976 59  6 35  0  0
 5  0 769696 5555280  27844 464920    0    0     0     0  163  684 58  7 35  0  0
 5  0 769696 5460792  27852 560352    0    0     0     0  504 1978 59  6 35  0  0
 5  0 769696 5363456  27868 654472    0    0     0     0  172  651 59  6 35  0  0
 5  0 769696 5266452  27896 750108    0    0     0   256  850 2108 60  5 35  0  0
 5  0 769696 5167696  27920 849388    0    0     8 54124  222  787 58  8 33  2  0
 5  0 769696 5073000  27936 940948    0    0    16 427056 1052 2552 59  7 33  0  0
 5  0 769696 4983792  27948 1030176    0    0     0     0  322 1002 58  7 35  0  0
 6  0 769696 4891056  27964 1123792    0    0     0     0  694 1818 60  5 35  0  0
 5  0 769696 4797564  27984 1224732    0    0     0   960  178  716 58  7 35  0  0
 5  0 769696 4706340  28000 1322320    0    0     0 70028  841 2091 58  7 34  0  0
 5  0 769696 4608676  28028 1415664    0    0     0 550084  293  991 58  8 34  0  0
 5  0 769696 4515940  28032 1507500    0    0     0     0  660 2692 60  5 35  0  0
 5  0 769696 4413816  28044 1604920    0    0     0     0  214  833 59  6 35  0  0
 5  0 769696 4318056  28068 1701444    0    0     0   996  364 1973 59  7 34  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 769696 4221792  28088 1797132    0    0     0     0  152  583 58  8 35  0  0
 5  0 769696 4119732  28096 1898772    0    0     0     0  311 1839 59  6 35  0  0
 5  0 769696 4045856  28104 1970200    0    0     0 343452  314  945 47  6 40  6  0
 5  0 769696 3949976  28120 2066876    0    0     0     0  496 2151 59  7 34  0  0
 6  0 769696 3851696  28144 2164184    0    0     0  1156  172  713 58  7 35  0  0
 5  0 769696 3748404  28156 2267644    0    0     0     0  353 2054 59  6 35  0  0
 5  0 769696 3650264  28168 2366388    0    0     0 204344  324 1021 57  9 34  0  0
 5  0 769696 3551516  28180 2464488    0    0     0     0  340 1849 59  6 35  0  0
 5  0 769696 3455428  28204 2558540    0    0     0 544252  382 1043 57  9 33  0  0
 5  0 769696 3364112  28236 2652448    0    0     0  1592  643 2576 57  6 35  2  0
 5  0 769696 3264068  28264 2752668    0    0     0     0  162  681 58  7 35  0  0
 5  0 769696 3165040  28276 2851540    0    0     0     0  377 1897 58  8 34  0  0
 5  0 769696 3069784  28288 2946700    0    0     0     0  168  698 57  9 35  0  0
 5  0 769696 2971360  28296 3045152    0    0     0     0  825 2027 58  8 34  0  0
 5  0 769696 2873348  28324 3142972    0    0     0 129352  288  927 58  8 33  1  0
 5  0 769696 2773536  28336 3241028    0    0     0 415576 1037 2436 60  7 34  0  0
 5  0 769696 2679076  28344 3337840    0    0     0     0  353 1087 59  6 35  0  0
 5  0 769696 2573796  28356 3440984    0    0     0     0  703 1922 58  8 34  0  0
 5  0 769696 2473008  28368 3542712    0    0     0     0  170  695 58  7 35  0  0
 6  0 769696 2375720  28388 3638060    0    0     0 299860  915 2249 55 10 33  1  0
 5  0 769696 2275452  28408 3740420    0    0     0     0  339 1049 58  6 35  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0 769696 2170404  28424 3844832    0    0     0     0  200  748 57  8 34  0  0
 5  0 769696 2073704  28428 3940516    0    0     0 244524  845 2041 58  8 34  0  0
 5  0 769696 1981892  28444 4034512    0    0     0     0  343  959 58  7 35  0  0
 5  0 769696 1888524  28476 4127160    0    0     0  1328  791 1970 59  5 35  0  0
 5  0 769692 1820576  28484 4192808    4    0     4 541208  343 1020 45  8 43  4  0
 5  0 769692 1723744  28492 4292712    0    0     0     0  481 2543 59  6 35  0  0
 5  0 769692 1621740  28508 4395300    0    0     0     0  155  680 59  6 36  0  0
 5  0 769692 1521732  28520 4493384    0    0     0     0  319 1940 57  8 34  0  0
 5  0 769692 1420220  28556 4593044    0    0     0  1364  195  722 57  8 34  0  0
 5  0 769692 1322500  28572 4693316    0    0     0     0  859 2128 58  7 35  0  0
 5  0 769692 1231884  28580 4782636    0    0     0 439564  384 1150 59  6 33  1  0
 5  0 769692 1133728  28584 4881808    0    0     0     0  898 2386 59  6 35  0  0
 5  0 769692 1030168  28624 4984660    0    0     0     0  154  682 59  6 36  0  0
 5  0 769692 941496  28652 5073116    0    0     0  1452  598 1986 60  5 35  0  0
 5  0 769692 839196  28660 5176156    0    0     0     0  171  679 58  7 35  0  0
 5  0 769692 745276  28676 5269896    0    0     0 98568  920 2246 59  8 34  0  0
 5  0 769692 675780  28708 5339500    0    0     0 536912  493 1476 48  7 42  3  0
 5  0 769692 576852  28724 5437452    0    0     0     0  495 2303 59  7 35  0  0
 5  0 769692 478636  28756 5535692    0    0     0  1648  186  713 57  8 35  0  0
 5  0 786076 516940  28712 5527676    0 17016     0 17016  819 2068 61  4 35  0  0
 5  0 786076 421972  28724 5622532    0    0     0     0  167  716 61  3 36  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 786076 406884  28740 5637932    8    0    56     0  243 1732 59  7 34  0  0
 5  0 788124 449300  28752 5599540    0 2048     0 343820  566 1533 55  8 36  2  0
 5  0 788124 428416  28780 5616752    0    0     0  1568  707 1999 59  6 35  0  0
 5  0 788124 418096  28788 5628784    0    0     0     0  169  680 57  9 34  0  0
 5  0 788124 399100  28792 5644764    0    0     0 203320  863 2136 57 10 33  0  0
 5  0 788124 470704  28804 5576936    0    0     0     0  324  906 57  9 34  0  0
 5  0 788124 463168  28824 5584452    0    0     0     0  837 1982 59  6 35  0  0
 5  1 788124 456324  28844 5591188    0    0     0 544312  483 1690 56  8 30  7  0
 5  0 788124 440812  28852 5604904    0    0    24     0  759 2229 60  5 33  2  0
 5  0 788124 456704  28884 5598096    0    0     0     0  164  772 59  6 35  0  0
 5  0 788124 461512  28900 5593296    0    0     0     0  641 2029 59  6 35  0  0
 5  0 788124 460276  28912 5594156    0    0     0     0  171  736 59  7 35  0  0
 6  0 788124 452308  28944 5603392    0    0     0 124968  954 2349 55  7 36  2  0
 5  0 788124 453836  28972 5599460    0    0     0     0  151  696 60  4 36  0  0
 5  0 788124 439084  28976 5612644   20    0    40 418588 1207 2863 57 11 32  0  0
 5  0 788124 434060  28988 5617264    0    0    24     0  145  693 59  6 35  0  0
 5  0 788124 395520  29020 5656216    0    0     0     0  820 2039 58  8 34  0  0
 5  0 788124 393436  29052 5657528    0    0     0  1816  184  760 57  9 34  0  0
 5  0 788124 394200  29088 5656048    0    0     0 387100 1113 2675 58  9 33  0  0
 5  0 788124 390820  29100 5659548    0    0     0     0  263  825 57  8 34  0  0
 6  0 788124 395420  29116 5655628    0    0     0     0  758 1827 57 10 33  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 788124 398112  29136 5651964  136    0   140     0  300  921 59  6 35  0  0
 6  0 788124 390740  29160 5658424    0    0     0 158868  257 1069 57  8 31  4  0
 5  0 788124 395564  29172 5655264    0    0     0     0  793 2063 60  5 35  0  0
 5  0 788124 396824  29208 5651596    0    0     0 544640  694 1774 56  8 35  1  0
 5  0 788124 392900  29228 5657968    0    0     0     0  646 2391 58  8 34  0  0
 5  0 788124 396224  29244 5653076    0    0     0     0  172  742 58  7 35  0  0
 6  0 788124 389720  29280 5660972    0    0     0  1920  828 2107 58  8 34  0  0
 5  0 788124 398664  29288 5652880    0    0     0     0  241  740 59  6 35  0  0
 1  1 788124 400844  29296 5647968    0    0     0 545040  842 2372 55  7 37  1  0
 5  0 788124 397404  29308 5654012    0    0     0     0  428 1608 54  7 38  1  0
 5  0 788124 395188  29328 5656568    0    0     0     0  589 1613 59  6 35  0  0
 5  0 788124 398192  29352 5654016    0    0     0  1880  166  750 58  7 35  0  0
 5  0 788124 393592  29372 5656780    0    0     0     0  691 2047 57 10 34  0  0
 5  0 788124 393652  29396 5657676    0    0     0     0  175  739 59  7 35  0  0
 5  0 788124 399740  29404 5649820    0    0     0 308864  850 2428 56  7 35  2  0
 5  0 788124 394280  29420 5656716    0    0     0     0  325 1002 59  6 35  0  0
 5  0 788124 393828  29432 5657376    0    0     0  1888  693 2083 60  6 34  0  0
 6  0 788124 394704  29472 5643812    0    0     0 234324  267  822 59  7 34  0  0
 5  0 788124 398312  29484 5645156    0    0     0  3464 1053 2598 59  6 34  0  0
 5  0 788124 393152  29500 5653084    0    0     0     0  189  769 59  6 35  0  0
 5  0 788124 394776  29516 5653092    0    0     0 544404  693 2473 58 10 32  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 788124 392380  29548 5657100    0    0     0  2076  435 1223 57  8 34  2  0
 5  0 788124 394464  29548 5654180    0    0     0     0  816 2119 59  6 34  0  0
 5  0 788124 396928  29556 5652796    0    0     0     0  174  761 60  5 35  0  0
 5  0 788124 392984  29576 5658248    0    0     0     0  691 1882 59  6 35  0  0
 5  0 788124 393040  29584 5657304    0    0     0     0  174  730 59  7 34  0  0
 5  0 788124 393628  29624 5656324    0    0     0 300188  963 2614 54  6 33  8  0
 5  0 788124 394116  29640 5641648    0    0     0     0  229  753 59  5 36  0  0
 5  0 788124 399564  29664 5644124    0    0     0     0  388 2088 60  5 35  0  0
 5  0 788124 402820  29672 5644468    0    0     0 245648  377 1153 60  6 35  0  0
 5  0 788124 396368  29680 5651244    0    0     0     0  848 2067 60  6 35  0  0
 5  0 788124 400484  29728 5646384    0    0     0  1952  196  665 58  7 35  0  0
 5  0 788124 400064  29748 5647564    0    0     0 431840  793 2847 59  7 33  0  0
 5  0 788124 462844  29676 5587256    0    0     0     0  201  767 57  8 34  0  0
 5  0 788124 435008  29680 5612504   16    0    16     0  480 1947 59  6 35  0  0
 5  0 788124 425944  29680 5624600    0    0     0     0  151  685 58  7 35  0  0
 5  0 788124 409844  29728 5637152    8    0     8 115908  636 2235 59  7 34  0  0
 3  1 788124 395784  29744 5650400    4    0     4 416492  245  875 58  7 35  0  0
 5  0 788124 455928  29748 5576284    0    0     0     0  888 2738 56  6 37  1  0
 5  0 788124 442584  29768 5590328    0    0     0     0  162  700 61  3 36  0  0
 5  0 788124 423968  29792 5608348    0    0     0     0  455 1951 59  7 34  0  0
 5  0 788124 406400  29828 5626332    0    0     0  2196  150  706 60  5 36  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 788124 397704  29848 5642484    0    0     0 125888  622 2177 59  6 34  0  0
 5  0 788124 405768  29872 5646096    0    0     0 540496  440 1288 55  8 36  1  0
 8  0 788124 472348  29888 5579204    0    0     0     0  594 1667 60  5 35  0  0
 5  0 788124 464032  29896 5588408    0    0     0     0  416 1678 59  5 35  0  0
 5  0 788124 443648  29932 5607128    0    0     0  2168  179  711 57  8 34  0  0
 5  0 788124 433340  29944 5616856    0    0     0     0  689 2056 57 10 33  0  0
 5  0 788124 419968  29968 5632524    0    0     0     0  235  717 59  7 35  0  0
 5  0 788124 404024  29984 5643816    0    0     0 538284 1077 2767 58  9 32  1  0
 5  0 788124 470076  29944 5578512    0    0     0     0  255 1085 59  7 35  0  0
 5  0 788124 397348  30008 5650780    0    0     0  2108  241 2121 59  6 35  0  0
 5  0 788124 394792  30012 5662948    0    0     0     0  175  718 59  6 35  0  0
 5  0 788124 397080  30024 5666356    0    0     0     0  295 2179 59  8 34  0  0
 6  0 788124 396472  30040 5666696    0    0     0 185712  188  793 59  6 35  0  0
 5  0 788124 393328  30056 5669212    4    0     4 109108 1039 2637 48  6 40  6  0
 5  0 788124 399116  30100 5664140    0    0     0  2148  184  751 59  6 35  0  0
 5  0 788124 394004  30108 5669676    0    0     0     0  832 2084 59  7 34  0  0
 5  0 788124 386200  30112 5663184   56    0    56 248716  417 1210 59  7 34  0  0
 5  0 788124 384468  30136 5668672    0    0     0     0  887 2111 58  8 34  0  0
 6  0 788124 394356  30156 5666532    0    0     0 456044  261  831 58  8 33  0  0
 5  0 788124 397012  30184 5666616    0    0     0  9280  935 2850 50  6 34 10  0
 5  0 788124 393820  30204 5669656    0    0     0     0  176  737 58  7 35  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 788124 393116  30224 5670604    0    0     0     0  334 1905 58  7 34  0  0
 5  0 788124 396636  30236 5666484    0    0     0     0  177  757 59  6 35  0  0
 5  0 788124 392728  30252 5671096    0    0     0 81944  446 2117 58  9 34  0  0
 5  0 788124 397428  30276 5664472    0    0     0 212452  394 1165 57  7 35  2  0
 5  0 788124 397136  30288 5665492    0    0     0     0  750 2069 58  8 34  0  0
 6  0 788124 399680  30308 5659440    0    0     0 194332  267  812 59  7 34  0  0
 5  0 788124 398468  30332 5662036    0    0     0 140340  538 2318 60  6 35  0  0
 5  0 788124 392756  30344 5668204    0    0     0     0  205  771 59  7 35  0  0
 5  0 788124 400408  30376 5660524    0    0     0  2348  794 2070 59  6 35  0  0
 5  0 788124 396648  30400 5662172    0    0     0 441700  433 1278 59  8 33  0  0
 5  0 788124 395668  30420 5666120    0    0     0     0  553 2448 59  6 35  0  0
 5  0 788124 393412  30432 5670228    0    0     0     0  149  736 60  5 36  0  0
 5  0 788124 395260  30436 5665444    0    0     0     0  796 2056 60  5 35  0  0
 5  0 788124 394512  30460 5668240    0    0     0  2360  189  792 59  6 35  0  0
 5  0 788124 396584  30472 5666500    0    0     0 102576  955 2361 60  5 35  0  0
 5  0 788124 393620  30480 5669164    0    0     0 455364  602 1657 59  7 34  0  0
 5  0 788124 378612  30500 5668716    0    0     0     0  495 2254 59  6 35  0  0
 5  0 788124 383460  30516 5663604    0    0     0     0  143  729 59  5 35  0  0
 5  0 788124 379104  30556 5669392    0    0     0  2356  351 1950 59  6 35  0  0
 5  0 788124 378484  30568 5669464    0    0     0 90344  199  852 60  5 35  0  0
 1  1 788124 400764  30592 5658180    0    0     0 542588  780 2290 54  9 36  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 788124 398688  30600 5662388    0    0     0     0  618 1606 59  5 36  0  0
 5  0 788124 400112  30620 5659316    0    0     0     0  354 1944 58  8 34  0  0
 5  0 788124 394268  30652 5667796    0    0     0  2280  148  722 58  7 35  0  0
 5  0 788124 396248  30664 5665928    0    0     0     0  357 2035 57  9 33  0  0
 5  0 788124 397616  30680 5663856    0    0     0     0  150  722 56 10 34  0  0
 3  2 788124 402844  30696 5657468    0    0     0 248752  886 2264 44  8 40  8  0
 5  0 788124 474628  30724 5585588    0    0     0  1148  308  987 59  5 36  0  0
 5  0 788124 452996  30760 5606036    0    0     0  2172  179  710 60  5 36  0  0
 5  0 788124 439340  30776 5618720    0    0     0 292308 1060 2585 60  6 34  0  0
 5  0 788124 420260  30788 5636760    0    0     0     0  200  766 60  5 36  0  0
 5  0 788124 399644  30792 5656976    0    0     0     0  851 2098 59  5 35  0  0
 5  0 788124 400300  30804 5654344    0    0     0 536756  255 1222 54  6 38  2  0
 7  0 788124 461884  30852 5592544    0    0     0  2388  876 2742 59  6 33  2  0
 5  0 788124 466720  30864 5587240    0    0     0     0  162  673 59  6 35  0  0
 5  0 788124 448884  30880 5603236    0    0     0     0  844 2094 59  7 34  0  0
 5  0 788124 439116  30892 5612064    0    0     0     0  220  678 59  6 35  0  0
 5  0 788124 426060  30904 5623400    0    0     0     0  815 2048 59  6 35  0  0
 5  0 788124 407260  30936 5641740    0    0     0 195080  396 1168 58  6 31  4  0
 8  0 788124 438828  30948 5614560    0    0     0     0  834 2087 59  7 35  0  0
 5  0 788124 461836  30956 5588996    0    0     0 344980  333 1187 59  7 34  0  0
 5  0 788124 449000  30976 5601520    0    0     0     0  909 2298 60  5 35  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 788124 431416  30988 5618548    0    0     0     0  158  685 57  8 35  0  0
 5  0 788124 418568  31020 5630544    4    0     4  2380  843 2083 59  6 34  0  0
 6  0 788124 405396  31032 5642428    0    0     0 359420  364 1412 59  6 34  0  0
 5  0 788124 398456  31052 5649744    0    0     0     0  839 2139 58  8 34  0  0
 5  0 788124 397588  31068 5644164    0    0     0     0  221  757 59  7 35  0  0
 7  0 788124 397652  31076 5652052    0    0     0 105556  831 2119 59  7 34  0  0
 7  0 788124 401020  31100 5647776    0    0     0 78592  170 1030 58  8 34  0  0
 5  1 788124 402828  31120 5646944    0    0     0 407232  314 2240 58  9 33  0  0
 5  0 788124 395428  31140 5656216    0    0     0  1180  209 1431 58  8 33  1  0
 5  0 788124 394248  31160 5660252    0    0     0     0  219 2014 58  7 34  0  0
 5  0 788124 396316  31176 5658724    0    0     0     0  160  745 59  6 35  0  0
 5  0 788124 395388  31204 5658912    0    0     0  2580  241 1955 58  7 34  0  0
 5  0 788124 396020  31228 5658496    0    0     0 132204  202  983 57  9 34  0  0
 5  0 788124 395460  31244 5659544    0    0     0 542152 1025 2572 58  8 34  1  0
 5  0 788124 398964  31268 5658364    0    0     0     0  546 1485 58  7 35  0  0
 7  0 788124 402396  31288 5655876    0    0     0     0  740 2112 59  6 35  0  0
 5  0 788124 398136  31340 5659496    0    0     0  2676  163  672 60  5 35  0  0
 5  0 788124 397932  31356 5659340    0    0     0     0  805 2027 61  4 35  0  0
 5  0 788124 394416  31376 5664120    0    0     0     0  143  614 59  5 36  0  0
 5  0 788124 397416  31392 5659076    0    0     0 540152  855 2612 60  7 33  0  0
 5  0 788124 395688  31412 5661916    0    0     0     0  392 1076 58  7 35  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 788124 394652  31440 5664820    0    0     0  2468  534 1958 60  5 35  0  0
 5  0 788124 399024  31464 5659128    0    0     0     0  155  735 59  6 35  0  0
 5  0 788124 401020  31472 5656860    0    0     0     0  510 1994 60  5 35  0  0
 6  0 788124 396164  31480 5662288    0    0     0 189372  227  848 58  8 34  0  0
 5  0 788124 384280  31540 5659180    0    0     0 65800 1062 2522 59  7 33  0  0
 5  0 788124 393344  31580 5650588    0    0     0  2292  165  753 59  5 35  0  0
 5  0 788124 390788  31764 5653552    0    0     0 105780 1030 2764 58  9 33  0  0
 5  0 788124 388772  31932 5654836    0    0     0 88240  501 1413 58  8 33  0  0
 5  0 788124 395632  32112 5647176    0    0     0 91492 1059 2847 58  9 33  0  0
 5  0 788124 395580  32208 5649632    0    0     0 96776  491 1400 59  7 34  0  0
 6  0 788124 396784  32292 5653188    0    0     0 253244  667 1931 58  8 33  1  0
 5  0 788124 397864  32308 5652268    0    0     0     0  534 1642 59  6 35  0  0
 5  0 788124 396656  32328 5667840    0    0     0     0  176  730 58  7 35  0  0
 5  0 788124 401188  32376 5663452    0    0     0 194548  989 2523 60  7 33  0  0
 5  0 788124 401972  32396 5662816    0    0     0     0  236  768 58  7 34  0  0
 5  0 788124 397268  32476 5667656    0    0     0 241852  612 2575 46  7 34 12  0
 5  0 788124 394472  32492 5669768    0    0     0     0  182  731 60  5 36  0  0
 5  0 788124 400004  32516 5665020    0    0     0     0  277 1828 59  6 35  0  0
 5  0 788124 400008  32536 5665388    0    0     0 229912  182 1132 59  7 34  0  0
 5  0 788124 472436  32540 5592340    0    0     0     0  212 1633 60  6 35  0  0
 5  0 788124 461400  32556 5601704    0    0     0 75312  265  845 58  6 33  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 788124 459084  32572 5603112    0    0     0 213964  427 2424 58  9 33  0  0
 5  0 788124 459640  32580 5603744    0    0     0     0  164  711 59  6 35  0  0
 6  0 788124 466428  32600 5593984    0    0     0 297616  494 2023 58  9 33  0  0
 5  0 788124 471720  32624 5578716    0    0     0     0  233  647 60  5 36  0  0
 5  0 788124 455124  32664 5592868    0    0     0  2284  712 1863 59  6 34  0  0
 5  0 788124 437128  32720 5610852    0    0     0 255424  333 1023 58  8 34  0  0
 5  0 788124 416016  32732 5631392    0    0     0     0  988 2410 59  7 34  0  0
 5  0 788124 396936  32748 5650920    0    0     0     0  171  699 59  6 35  0  0
 5  0 788124 401160  32760 5642684    0    0     0 303412  799 2262 48  7 42  3  0
 5  0 788124 472800  32792 5576476    0    0     0  2236  182  707 58  7 34  0  0
 5  0 788124 457568  32808 5590632    0    0     8     0  593 1669 61  4 35  0  0
 5  0 788124 457804  32836 5589644    0    0     8 217488  355 1025 60  6 33  2  0
 5  0 788124 447236  32852 5600812    0    0     0     0  706 1774 59  6 35  0  0
 2  2 788124 436744  32864 5611732    0    0     0 121824  176  751 57  8 34  1  0
 5  0 788124 408664  32896 5624312    0    0    16  2172  737 2210 57  5 36  3  0
 5  0 788124 446644  32920 5586020    0    0     0 200988  262 1116 58  8 34  0  0
 6  0 788124 399332  32928 5633264    0    0     0     0  537 1974 59  5 35  0  0
 5  0 788124 397768  32948 5635288    0    0     0 208680  409 1200 58  9 34  0  0
 5  0 788124 396804  32960 5636476    0    0     0     0  780 2020 59  6 35  0  0
 5  0 788124 400168  32992 5634204    0    0     0 132448  336  999 51  6 35  8  0
 7  0 788124 400320  33008 5632180    0    0     0 98368  873 2170 59  7 34  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 788124 395568  33016 5637584    0    0     0 101024  335 1065 58  7 34  0  0
 6  0 788124 397664  33028 5640008    0    0     0 20096  837 2121 58  8 34  0  0
 5  0 788124 397156  33028 5640040    0    0     0 204740  384 1161 45  7 41  7  0
 5  0 788124 387980  33064 5634908    0    0     0  1784  433 1976 59  7 34  0  0
 5  0 788124 386232  33092 5634996    0    0     0 312936  263 1026 58  8 34  0  0
 5  0 788124 385700  33096 5637508    0    0    16     0  847 2293 59  7 34  0  0
 5  0 788124 390404  33100 5633140    0    0     0     0  178  652 60  4 36  0  0
 1  2 788124 395912  33112 5625968    0    0     0 251564  633 2157 56  9 33  2  0
 5  0 788124 396748  33136 5626096    0    0     0  2172  332 1021 57  6 36  1  0
 5  0 788124 393468  33152 5629656    0    0     0     0  726 2013 56 10 33  0  0
 5  0 788124 400624  33160 5621348    0    0     0 283780  399 1184 58  8 34  0  0
 5  0 788124 395596  33168 5625416    0    0     0     0  926 2199 57  9 34  0  0
 5  0 788124 396628  33188 5627200    0    0     0     0  163  644 59  6 35  0  0
 7  0 788124 395188  33220 5627168    0    0     0 240928  421 2456 43  6 34 17  0
 5  0 788124 395528  33240 5628280    0    0     0     0  174  752 58  7 35  0  0
 5  0 788124 396612  33264 5626052    0    0     0     0  169  739 58  8 34  0  0
 5  0 788124 397084  33296 5629660    0    0     0 296612 1120 2736 60  6 33  0  0
 5  0 788124 399316  33308 5625876    0    0     0     0  176  749 59  6 35  0  0
 5  0 788124 394612  33352 5630436    0    0     0  2108  852 2129 61  4 35  0  0
 5  0 788124 400656  33368 5639588    0    0     0 271808  446 1308 59  7 34  0  0
 5  0 788124 396184  33380 5647532    0    0     0     0  829 2109 61  3 36  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 788124 395464  33400 5649228    0    0     0     0  173  730 59  6 35  0  0
 5  0 788124 394720  33400 5649456    0    0     0 264916 1045 2619 59  9 33  0  0
 5  0 788124 400836  33440 5658612    0    0     0  2000  247  753 58  7 34  0  0
 5  0 788124 399152  33472 5663784    0    0     0     0  846 2109 59  6 35  0  0
 5  0 788124 396120  33480 5667284    0    0     0 328424  470 1339 59  8 33  0  0
 5  0 788124 396912  33496 5666768    0    0     0     0  825 2109 61  4 35  0  0
 5  0 788124 400484  33504 5662452    0    0     0     0  186  745 59  7 35  0  0
 5  0 788124 399508  33536 5663424    0    0     0  1680  850 2125 60  5 35  0  0
 4  2 788124 394528  33536 5667840    0    0     0 68484  204  772 60  4 35  0  0
 5  0 788124 398296  33536 5665792    0    0     0  1148  905 2214 59  6 34  2  0
 5  0 788124 402636  33540 5660408   12    0    12     0  171  718 60  5 35  0  0
 5  0 788124 396372  33548 5667584    0    0     0 142252  961 2313 60  6 34  0  0
 6  0 788124 390540  33568 5665516    0    0     0   916  203  738 59  6 35  0  0
 5  0 788124 391436  33568 5661716    0    0     0     0  880 2080 60  4 35  0  0
 5  0 788124 403312  33568 5653988   24    0    24     0  513 1397 60  5 35  0  0
 5  0 788124 402020  33576 5647476  164    0   192     0 1953 4389 57  5 39  0  0
 5  0 788124 400420  33588 5655112    0    0    24     0 2275 4925 55  5 40  0  0
 4  0 788124 399952  33600 5653312    0    0     0 286908 2139 4776 50  7 33 10  0
 4  0 788124 402308  33604 5649304    0    0     0     0 1817 4011 54  6 40  0  0
 5  0 788124 396528  33604 5653128  224    0   224     0 2843 6568 54  5 40  0  0
 5  0 787868 403224  33608 5645840  492    0   492     0 1308 3015 55  5 40  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 787100 400140  33612 5642592  832    0   832     0 1979 4430 56  5 39  0  0
 5  0 787100 401840  33620 5639468   80    0    80 250952 1796 4002 53  4 38  5  0
 4  0 787100 394824  33628 5634664  192    0   192     0 3234 6795 56  4 40  0  0
 4  0 786076 398356  33628 5636244  872    0   872     0 1218 2841 55  4 40  0  0
 5  0 786076 396676  33628 5639120    0    0     0     0 2392 5167 55  5 40  0  0
 4  0 786076 401224  33636 5636832    0    0     0     0 2448 5258 55  4 41  0  0
 5  0 786076 396956  33648 5646804    0    0     0   636 1962 4326 55  5 40  0  0
 5  0 786076 472316  33652 5575220    0    0     0     0 1326 3035 54  6 40  0  0
 5  0 786076 441840  33656 5602316    0    0     0     0 1897 4197 56  4 40  0  0
 4  0 786076 406056  33656 5627132    0    0    12     0 2615 5596 53  4 42  0  0
 4  0 786076 404544  33656 5627420    0    0     0     0  743 1865 49  3 48  0  0
 4  0 786076 404292  33664 5627420    0    0     0   372  185  700 48  4 47  0  0
 4  0 786076 470640  33664 5560556    0    0     0     0  924 2086 48  5 47  0  0
 4  0 786076 469144  33664 5560572    0    0     0     0  173  687 49  3 48  0  0
 5  0 786076 468640  33664 5560572    0    0     0     0  773 1873 49  4 47  0  0
 4  0 786076 467380  33664 5560556    0    0     0     0  185  726 49  3 48  0  0
 4  0 786076 467380  33664 5560556    0    0     0     0  177  674 49  4 48  0  0
 4  0 786076 466372  33672 5560552    0    0     0    16  857 2083 49  4 47  0  0
 4  0 786076 466372  33672 5560552    0    0     0     0  184  679 48  5 47  0  0
 4  0 786076 465112  33672 5560552    0    0     0     0  869 2075 48  7 46  0  0
 4  0 786076 464860  33672 5560552    0    0     0     0  180  669 48  4 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
